GS_ID,Project Name,Type,Country,Size,Status,Methodology,Estimated Annual Credits,Project Developer,Sustainable Development Goals,Program of Activities,sustaincert_url,registry_url,Description,POA GSID,GOLD Source Data,Updated 11-1-23,Total Projects:,3117,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,215
GS11021,GS5047 VPA85 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XIII,Energy Efficiency - Domestic,Rwanda,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,8802,Likano Project Development GmbH,"7,13,3",VPA,https://platform.sustain-cert.com/public-project/2294,https://registry.goldstandard.org/projects/details/2980,"This Micro-Scale Voluntary Project Activity for the PoA African Improved Cookstoves and Clean Water Programme involves the distribution of approximately 2,000 domestic fuel-efficient cook stoves to households within the districts of Rutsiro and Ngororero, Rwanda, which previously have had no access to improved cookstoves. The Gishwati â€“ Mukura Forest Conservation Project currently includes three VPAs. The plan is to distribute 2,000 stoves in each and every VPA, which gives a total of 6,000 stoves for all the three Gishwati VPAs. The project owner Likano Project Development GmbH will work closely with the in-country partner Rwandese Association of Ecologists (ARECO) in the preparation and implementation of the project.",5047.0,,,,,,,,,,,,
GS11022,GS5047 VPA86 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XIV,Energy Efficiency - Domestic,Rwanda,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,8802,Likano Project Development GmbH,"7,13,3",VPA,https://platform.sustain-cert.com/public-project/2295,https://registry.goldstandard.org/projects/details/2981,"This Micro-Scale Voluntary Project Activity for the PoA African Improved Cookstoves and Clean Water Programme involves the distribution of approximately 2,000 domestic fuel-efficient cook stoves to households within the districts of Rutsiro and Ngororero, Rwanda, which previously have had no access to improved cookstoves. The Gishwati â€“ Mukura Forest Conservation Project currently includes three VPAs. The plan is to distribute 2,000 stoves in each and every VPA, which gives a total of 6,000 stoves for all the three Gishwati VPAs. The project owner Likano Project Development GmbH will work closely with the in-country partner Rwandese Association of Ecologists (ARECO) in the preparation and implementation of the project.",5047.0,,,,,,,,,,,,
GS11023,GS5047 VPA87 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XV,Energy Efficiency - Domestic,Rwanda,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,8802,Likano Project Development GmbH,"7,13,3",VPA,https://platform.sustain-cert.com/public-project/2296,https://registry.goldstandard.org/projects/details/2982,"This Micro-Scale Voluntary Project Activity for the PoA African Improved Cookstoves and Clean Water Programme involves the distribution of approximately 2,000 domestic fuel-efficient cook stoves to households within the districts of Rutsiro and Ngororero, Rwanda, which previously have had no access to improved cookstoves. The Gishwati â€“ Mukura Forest Conservation Project currently includes three VPAs. The plan is to distribute 2,000 stoves in each and every VPA, which gives a total of 6,000 stoves for all the three Gishwati VPAs. The project owner Likano Project Development GmbH will work closely with the in-country partner Rwandese Association of Ecologists (ARECO) in the preparation and implementation of the project.",5047.0,,,,,,,,,,,,
GS11024,GS5047 VPA89 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XVI,Energy Efficiency - Domestic,Rwanda,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,8802,Likano Project Development GmbH,"7,13,3",VPA,https://platform.sustain-cert.com/public-project/2297,https://registry.goldstandard.org/projects/details/2983,"This Micro-Scale Voluntary Project Activity for the PoA African Improved Cookstoves and Clean Water Programme involves the distribution of approximately 2,000 domestic fuel-efficient cook stoves to households within the districts of Rutsiro and Ngororero, Rwanda, which previously have had no access to improved cookstoves. The Gishwati â€“ Mukura Forest Conservation Project currently includes three VPAs. The plan is to distribute 2,000 stoves in each and every VPA, which gives a total of 6,000 stoves for all the three Gishwati VPAs. The project owner Likano Project Development GmbH will work closely with the in-country partner Rwandese Association of Ecologists (ARECO) in the preparation and implementation of the project.",5047.0,,,,,,,,,,,,
GS11025,GS5047 VPA90 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XVII,Energy Efficiency - Domestic,Rwanda,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,8802,Likano Project Development GmbH,"7,13,3",VPA,https://platform.sustain-cert.com/public-project/2298,https://registry.goldstandard.org/projects/details/2984,"This Micro-Scale Voluntary Project Activity for the PoA African Improved Cookstoves and Clean Water Programme involves the distribution of approximately 2,000 domestic fuel-efficient cook stoves to households within the districts of Rutsiro and Ngororero, Rwanda, which previously have had no access to improved cookstoves. The Gishwati â€“ Mukura Forest Conservation Project currently includes three VPAs. The plan is to distribute 2,000 stoves in each and every VPA, which gives a total of 6,000 stoves for all the three Gishwati VPAs. The project owner Likano Project Development GmbH will work closely with the in-country partner Rwandese Association of Ecologists (ARECO) in the preparation and implementation of the project.",5047.0,,,,,,,,,,,,
GS11026,GS5047 VPA91 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XVIII,Energy Efficiency - Domestic,Rwanda,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,8802,Likano Project Development GmbH,"7,13,3",VPA,https://platform.sustain-cert.com/public-project/2299,https://registry.goldstandard.org/projects/details/2985,"This Micro-Scale Voluntary Project Activity for the PoA African Improved Cookstoves and Clean Water Programme involves the distribution of approximately 2,000 domestic fuel-efficient cook stoves to households within the districts of Rutsiro and Ngororero, Rwanda, which previously have had no access to improved cookstoves. The Gishwati â€“ Mukura Forest Conservation Project currently includes three VPAs. The plan is to distribute 2,000 stoves in each and every VPA, which gives a total of 6,000 stoves for all the three Gishwati VPAs. The project owner Likano Project Development GmbH will work closely with the in-country partner Rwandese Association of Ecologists (ARECO) in the preparation and implementation of the project.",5047.0,,,,,,,,,,,,
GS11027,GS5047 VPA92 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XIX,Energy Efficiency - Domestic,Rwanda,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,8802,Likano Project Development GmbH,"7,13,3",VPA,https://platform.sustain-cert.com/public-project/2300,https://registry.goldstandard.org/projects/details/2986,"This Micro-Scale Voluntary Project Activity for the PoA African Improved Cookstoves and Clean Water Programme involves the distribution of approximately 2,000 domestic fuel-efficient cook stoves to households within the districts of Rutsiro and Ngororero, Rwanda, which previously have had no access to improved cookstoves. The Gishwati â€“ Mukura Forest Conservation Project currently includes three VPAs. The plan is to distribute 2,000 stoves in each and every VPA, which gives a total of 6,000 stoves for all the three Gishwati VPAs. The project owner Likano Project Development GmbH will work closely with the in-country partner Rwandese Association of Ecologists (ARECO) in the preparation and implementation of the project.",5047.0,,,,,,,,,,,,
GS11028,GS5047 VPA93 African Improved Cookstoves and Clean Water Programme: Gishwati ‚Äì Mukura Forest Conservation Project XX,Energy Efficiency - Domestic,Rwanda,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,8802,Likano Project Development GmbH,"7,13,3",VPA,https://platform.sustain-cert.com/public-project/2301,https://registry.goldstandard.org/projects/details/2987,"This Micro-Scale Voluntary Project Activity for the PoA African Improved Cookstoves and Clean Water Programme involves the distribution of approximately 2,000 domestic fuel-efficient cook stoves to households within the districts of Rutsiro and Ngororero, Rwanda, which previously have had no access to improved cookstoves. The Gishwati â€“ Mukura Forest Conservation Project currently includes three VPAs. The plan is to distribute 2,000 stoves in each and every VPA, which gives a total of 6,000 stoves for all the three Gishwati VPAs. The project owner Likano Project Development GmbH will work closely with the in-country partner Rwandese Association of Ecologists (ARECO) in the preparation and implementation of the project.",5047.0,,,,,,,,,,,,
GS11029,"GS5658 VPA 33: Access to energy for local development and women's empowerment in Cabo Delgado Province, Mozambique",Energy Efficiency - Domestic,Mozambique,Micro scale,Gold Standard Certified Design,GS MS Simplified Methodology for Efficient Cookstoves v1.,10000,Carbonsink (Carbonsink Group S.r.l.),"7,1,13,3,15",VPA,https://platform.sustain-cert.com/public-project/2302,https://registry.goldstandard.org/projects/details/3017,"The Italian NGO AVSI Foundation in collaboration with the Italian based consultancy company Carbonsink, is planning to distribute energy efficient cookstoves in the district of Balama, Cabo Delgado Province, Mozambique. The distribution of cookstoves started in the end of March 2020 and under this VPA is foreseen to include at least 2.000 fuel-efficient cookstoves. Besides reducing greenhouse gas emission and contributing to climate change mitigation in line with the UNâ€™s Sustainable Development Goal nro 13, the project is foreseen to provide several local benefits in the project area",5658.0,,,,,,,,,,,,
GS1103,Zhongshan County Micro Hydro Project Bundle No.5,"Small, Low - Impact Hydro",China,Micro scale,Gold Standard Certified Project,AMS-I.D. Grid connected renewable electricity generation,4506,Swiss Carbon Value Ltd.,"7,13,9",Standalone,https://platform.sustain-cert.com/public-project/79,https://registry.goldstandard.org/projects/details/74,"The project consists three hydropower stations: Liang'an   Pingjiang Hydropower Project of Zhongshan County, Futian   Hydropower Project, and Chuanyancao River Hydropower Project   in Zhongshan country, Guangxi province, which are using   hydropower resource to generate electricity.   These three hydro power stations are all located within the   Zhongshan county, Guangxi Province:  Liangâ€™an Pingjiang Hydropower Project of Zhongshan County:   Pingjiang village, Liangâ€™an township, Zhongshan county  Futian Hydropower Project: Wanggao town, Zhongshan county  Chuanyancao River Hydropower Project: Caoduiyuan village,   Liangâ€™an township, Zhongshan county  All three hydropower stations are run-of-river type project,   each consists water retaining dikes, a water diversion tunnel,   press tube and hydrologic turbines and generators.",,,,,,,,,,,,,
GS11030,GS7591 VPA 38 Malawi Community Safe Water Project,Energy Efficiency - Domestic,Malawi,Small Scale,Listed,GS TPDDTEC v3.1,60000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2303,https://registry.goldstandard.org/projects/details/3018,Water For People and CO2balance are implementing safe water supply projects in Malawi to supply communities with safe water which removes the need to boil unsafe water as a treatment method.,7591.0,,,,,,,,,,,,
GS11031, GS7591 VPA 39 Malawi Community Safe Water Project,Energy Efficiency - Domestic,Malawi,Small Scale,Listed,GS TPDDTEC v3.1,60000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2304,https://registry.goldstandard.org/projects/details/3019,Water For People and CO2balance are implementing safe water supply projects in Malawi to supply communities with safe water which removes the need to boil unsafe water as a treatment method.,7591.0,,,,,,,,,,,,
GS11032,¬†GS7591 VPA 40 Rwanda Community Safe Water Project,Energy Efficiency - Domestic,Rwanda,Small Scale,Listed,GS TPDDTEC v3.1,60000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2305,https://registry.goldstandard.org/projects/details/3020,Water For People and CO2balance are implementing safe water supply projects in Rwanda to supply communities with safe water which removes the need to boil unsafe water as a treatment method.,7591.0,,,,,,,,,,,,
GS11033,GS7591 VPA 41 Rwanda Community Safe Water Project,Energy Efficiency - Domestic,Rwanda,Small Scale,Listed,GS TPDDTEC v3.1,60000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2306,https://registry.goldstandard.org/projects/details/3021,Water For People and CO2balance are implementing safe water supply projects in Rwanda to supply communities with safe water which removes the need to boil unsafe water as a treatment method.,7591.0,,,,,,,,,,,,
GS11034,GS7591 VPA 42 Uganda Community Safe Water Project,Energy Efficiency - Domestic,Uganda,Small Scale,Listed,GS TPDDTEC v3.1,60000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2307,https://registry.goldstandard.org/projects/details/3022,Water For People and CO2balance are implementing safe water supply projects in Uganda to supply communities with safe water which removes the need to boil unsafe water as a treatment method.,7591.0,,,,,,,,,,,,
GS11035,GS7591 VPA 43 India Community Safe Water Project,Energy Efficiency - Domestic,India,Small Scale,Listed,GS TPDDTEC v3.1,60000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2308,https://registry.goldstandard.org/projects/details/3023,Water For People and CO2balance are implementing safe water supply projects in India to supply communities with safe water which removes the need to boil unsafe water as a treatment method.,7591.0,,,,,,,,,,,,
GS11036,GS7591 VPA 44 India Community Safe Water Project,Energy Efficiency - Domestic,India,Small Scale,Listed,GS TPDDTEC v3.1,60000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2309,https://registry.goldstandard.org/projects/details/3024,Water For People and CO2balance are implementing safe water supply projects in India to supply communities with safe water which removes the need to boil unsafe water as a treatment method.,7591.0,,,,,,,,,,,,
GS1104,Zhongshan County Micro Hydro Project Bundle No.6,"Small, Low - Impact Hydro",China,Micro scale,Gold Standard Certified Project,AMS-I.D. Grid connected renewable electricity generation,4065,Swiss Carbon Value Ltd.,"7,13,9",Standalone,https://platform.sustain-cert.com/public-project/80,https://registry.goldstandard.org/projects/details/75,"The project consists three sub-components hydropower stations:   Danzhuchong Hydropower Project, Baimiantian Hydropower Project   and liuyueliu Hydropower Project of Zhongshan County in   zhongshan country, Yunnan province, which are using hydropower   resource to generate electricity.     All the three stations are located within Zhongshan county,   Guangxi Province, P.R.China:  Danzhuchong Hydropower Project: Sanch village, Hua township,   Zhongshan county  Baimiantian Hydropower Project: Baoâ€™an river, Hua township,   Zhongshan county  Liuyueliu Hydropower Project of Zhongshan County: Dajiangbian   village Hua township, Zhongshan county.  All hydropower stations are run-of-river projects, each   consist water retaining dike, water diversion tunnel, press   tube and hydrologic turbines and generators.",,,,,,,,,,,,,
GS11041,GS5658 VPA 34: ‚ÄúAccess to energy for local development and resilience building in Uganda‚Äù,Energy Efficiency - Domestic,Uganda,Micro scale,Gold Standard Certified Project,GS TPDDTEC v3.1,7539,Carbonsink (Carbonsink Group S.r.l.),"7,12,1,13,3,15",VPA,https://platform.sustain-cert.com/public-project/2310,https://registry.goldstandard.org/projects/details/3029,"The micro-scale Voluntary Project Activity (VPA) is planning the distribute fuel-efficient cookstoves in Northern and Eastern Uganda. Most families in Uganda cook with traditional inefficient cookstoves that consume large amounts of wood-based fuels (firewood or charcoal). This project is targeting the urban and peri-urban context of Northern and Eastern Regions of Uganda, where families tend to use charcoal as the main cooking fuel despite the fact that the price of charcoal has increased over time. The production of charcoal is increasing the rate of deforestation and land degradation, and their combustion is a significant source of greenhouse gas (GHG) emissions responsible for climate change. In addition to the environmental consequences, there are serious health implications related with the inefficient cooking methods through the exposure on the smoke and other emissions. The project will address the challenges above by reducing the consume of charcoal during the cooking activities. Besides reducing greenhouse gas emission and contributing to climate change mitigation in line with the UNâ€™s Sustainable Development Goal number 13 (â€œClimate Actionâ€), the project activities are foreseen to contribute also other sustainable development goals.",5658.0,,,,,,,,,,,,
GS11042,GS5658 VPA 35: ‚ÄúAccess to energy for local development and resilience building in Uganda‚Äù,Energy Efficiency - Domestic,Uganda,Micro scale,Gold Standard Certified Project,GS TPDDTEC v3.1,7568,Carbonsink (Carbonsink Group S.r.l.),"7,1,13,3,15",VPA,https://platform.sustain-cert.com/public-project/2311,https://registry.goldstandard.org/projects/details/3030,"The micro-scale Voluntary Project Activity (VPA) is planning the distribute fuel-efficient cookstoves in Northern and Eastern Uganda. Most families in Uganda cook with traditional inefficient cookstoves that consume large amounts of wood-based fuels (firewood or charcoal). This project is targeting the urban and peri-urban context of Northern and Eastern Regions of Uganda, where families tend to use charcoal as the main cooking fuel despite the fact that the price of charcoal has increased over time. The production of charcoal is increasing the rate of deforestation and land degradation, and their combustion is a significant source of greenhouse gas (GHG) emissions responsible for climate change. In addition to the environmental consequences, there are serious health implications related with the inefficient cooking methods through the exposure on the smoke and other emissions. The project will address the challenges above by reducing the consume of charcoal during the cooking activities. Besides reducing greenhouse gas emission and contributing to climate change mitigation in line with the UNâ€™s Sustainable Development Goal number 13 (â€œClimate Actionâ€), the project activities are foreseen to contribute also other sustainable development goals.",5658.0,,,,,,,,,,,,
GS11043,GS5658 VPA 36: ‚ÄúAccess to energy for local development and resilience building in Uganda‚Äù,Energy Efficiency - Domestic,Uganda,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,7568,Carbonsink (Carbonsink Group S.r.l.),"7,1,13,3,15",VPA,https://platform.sustain-cert.com/public-project/2312,https://registry.goldstandard.org/projects/details/3031,"The micro-scale Voluntary Project Activity (VPA) is planning the distribute fuel-efficient cookstoves in Northern and Eastern Uganda. Most families in Uganda cook with traditional inefficient cookstoves that consume large amounts of wood-based fuels (firewood or charcoal). This project is targeting the urban and peri-urban context of Northern and Eastern Regions of Uganda, where families tend to use charcoal as the main cooking fuel despite the fact that the price of charcoal has increased over time. The production of charcoal is increasing the rate of deforestation and land degradation, and their combustion is a significant source of greenhouse gas (GHG) emissions responsible for climate change. In addition to the environmental consequences, there are serious health implications related with the inefficient cooking methods through the exposure on the smoke and other emissions. The project will address the challenges above by reducing the consume of charcoal during the cooking activities. Besides reducing greenhouse gas emission and contributing to climate change mitigation in line with the UNâ€™s Sustainable Development Goal number 13 (â€œClimate Actionâ€), the project activities are foreseen to contribute also other sustainable development goals.",5658.0,,,,,,,,,,,,
GS11044,GS5658 VPA 37: ‚ÄúAccess to energy for local development and resilience building in Uganda‚Äù,Energy Efficiency - Domestic,Uganda,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,7539,Carbonsink (Carbonsink Group S.r.l.),"7,1,13,3,15",VPA,https://platform.sustain-cert.com/public-project/2313,https://registry.goldstandard.org/projects/details/3032,"The micro-scale Voluntary Project Activity (VPA) is planning the distribute fuel-efficient cookstoves in Northern and Eastern Uganda. Most families in Uganda cook with traditional inefficient cookstoves that consume large amounts of wood-based fuels (firewood or charcoal). This project is targeting the urban and peri-urban context of Northern and Eastern Regions of Uganda, where families tend to use charcoal as the main cooking fuel despite the fact that the price of charcoal has increased over time. The production of charcoal is increasing the rate of deforestation and land degradation, and their combustion is a significant source of greenhouse gas (GHG) emissions responsible for climate change. In addition to the environmental consequences, there are serious health implications related with the inefficient cooking methods through the exposure on the smoke and other emissions. The project will address the challenges above by reducing the consume of charcoal during the cooking activities. Besides reducing greenhouse gas emission and contributing to climate change mitigation in line with the UNâ€™s Sustainable Development Goal number 13 (â€œClimate Actionâ€), the project activities are foreseen to contribute also other sustainable development goals.",5658.0,,,,,,,,,,,,
GS11046,GS1247 VPA 266 - Burkina Faso Safe Water,Energy Efficiency - Domestic,Burkina Faso,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2315,https://registry.goldstandard.org/projects/details/3034,"This project will support the provision of safe water to hundreds of households across Nord Region of Burkina Faso using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11047,GS1247 VPA 267 - Burkina Faso Safe Water,Energy Efficiency - Domestic,Burkina Faso,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2316,https://registry.goldstandard.org/projects/details/3035,"This project will support the provision of safe water to hundreds of households across Nord Region of Burkina Faso using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11048,GS1247 VPA 268 - Burkina Faso Safe Water,Energy Efficiency - Domestic,Burkina Faso,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2317,https://registry.goldstandard.org/projects/details/3036,"This project will support the provision of safe water to hundreds of households across Nord Region of Burkina Faso using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11049,GS1247 VPA 269 - Burkina Faso Safe Water,Energy Efficiency - Domestic,Burkina Faso,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2318,https://registry.goldstandard.org/projects/details/3037,"This project will support the provision of safe water to hundreds of households across Nord Region of Burkina Faso using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS1105,√áAY WEIR AND HYDROELECTRIC POWER PLANT,"Small, Low - Impact Hydro",Turkey,Small Scale,Gold Standard Certified Project,AMS-I.D. Grid connected renewable electricity generation,19497,ENCEV Enerji,"7,13,9",Standalone,https://platform.sustain-cert.com/public-project/81,https://registry.goldstandard.org/projects/details/76,"â€œÃ‡ay Weir and Hydroelectric Power Plant"" on Ã–zlÃ¼ce (Gelevena) Creek within   Giresun Province, Espiye District, in the Black Sea Region is planned to be   constructed and operated by MartÃ½ Elektrik Ãœretim A.Ãž. The only purpose of Ã‡ay   Hydroelectric Power Plant (HEPP) is to generate maximum amount of possible   energy to contribute energy supply of Turkey by means of Ã–zlÃ¼ce Creek as a   water source. The water of Ã–zlÃ¼ce Creek will be diverted by Ã‡ay Weir and will be   sent to the power station through the conveyance lines and energy will be   generated by turbines. Total installed power of the project will be 10.93 MW.The   proposed hydroelectric power plant will generate a total of 35.061 GWh energy   with current flow of river.  In the scope of the project, it is planned to be   employed around 100 people in construction stage and about 10 people will be   employed in operation stage. The completion duration of the facilities (total   construction duration) is about 3 years and econo",,,,,,,,,,,,,
GS11050,GS1247 VPA 270 - Burkina Faso Safe Water,Energy Efficiency - Domestic,Burkina Faso,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2319,https://registry.goldstandard.org/projects/details/3038,"This project will support the provision of safe water to hundreds of households across Nord Region of Burkina Faso using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11051,GS1247 VPA 271 - Burkina Faso Safe Water,Energy Efficiency - Domestic,Burkina Faso,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2320,https://registry.goldstandard.org/projects/details/3039,"This project will support the provision of safe water to hundreds of households across Nord Region of Burkina Faso using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11053,GS1247 VPA 272 - Togo Safe Water,Energy Efficiency - Domestic,Togo,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2321,https://registry.goldstandard.org/projects/details/3041,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11054,GS1247 VPA 273 - Togo Safe Water,Energy Efficiency - Domestic,Togo,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2322,https://registry.goldstandard.org/projects/details/3042,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11055,GS1247 VPA 274 - Togo Safe Water,Energy Efficiency - Domestic,Togo,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2323,https://registry.goldstandard.org/projects/details/3043,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11056,GS1247 VPA 275 - Togo Safe Water,Energy Efficiency - Domestic,Togo,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2324,https://registry.goldstandard.org/projects/details/3044,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11057,GS1247 VPA 276 - Togo Safe Water,Energy Efficiency - Domestic,Togo,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2325,https://registry.goldstandard.org/projects/details/3045,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11058,GS1247 VPA 277 - Togo Safe Water,Energy Efficiency - Domestic,Togo,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2326,https://registry.goldstandard.org/projects/details/3046,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11059,GS1247 VPA 278 - Togo Safe Water,Energy Efficiency - Domestic,Togo,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2327,https://registry.goldstandard.org/projects/details/3047,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11060,GS1247 VPA 279 - Togo Safe Water,Energy Efficiency - Domestic,Togo,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2328,https://registry.goldstandard.org/projects/details/3048,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11061,GS1247 VPA 280 - Togo Safe Water,Energy Efficiency - Domestic,Togo,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2329,https://registry.goldstandard.org/projects/details/3049,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
GS11062,GS1247 VPA 281 Togo Safe Water,Energy Efficiency - Domestic,Togo,Micro scale,Gold Standard Certified Design,GS TPDDTEC v3.1,10000,CO2balance UK ltd,"6,13,3,5",VPA,https://platform.sustain-cert.com/public-project/2330,https://registry.goldstandard.org/projects/details/3050,"This project will support the provision of safe water to hundreds of households across Togo using borehole technology. By providing safe water, the project will ensure that households consume less firewood during the process of water purification and as a result there shall be a reduction of carbon dioxide from the combustion process.",1247.0,,,,,,,,,,,,
